,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,"Temperature, F","Wind Speed, mph"
36,stawell,36,AU,1536089206,88,-37.06,142.77,46.72,11.56
37,lowestoft,40,GB,1536087000,82,52.48,1.75,59.0,5.82
38,qandala,0,SO,1536089206,72,11.47,49.87,79.66,0.16
40,bulgan,92,MN,1536089207,99,48.81,103.53,44.56,7.54
41,fevik,75,NO,1536087000,93,58.38,8.68,62.6,3.36
42,fortuna,20,ES,1536087600,83,38.18,-1.13,81.95,8.05
45,castrillon,20,ES,1536087600,88,43.4,-6.79,68.0,4.7
46,brookings,90,US,1536088620,94,44.31,-96.8,71.74,4.7
47,hobart,75,AU,1536087600,87,-42.88,147.33,42.8,8.05
48,inta,92,RU,1536089211,71,66.04,60.13,61.48,7.2
50,oparino,0,RU,1536089211,82,59.85,48.28,53.38,4.52
51,talnakh,92,RU,1536088880,94,69.49,88.39,43.03,22.75
53,haimen,8,CN,1536089212,99,31.87,121.18,73.54,2.73
54,kodiak,40,US,1536083580,69,39.95,-94.76,84.02,17.22
55,saint-philippe,1,CA,1536086100,44,45.36,-73.48,77.7,3.36
56,leshukonskoye,20,RU,1536088858,84,64.9,45.76,58.06,5.41
57,port alfred,0,ZA,1536088861,72,-33.59,26.89,70.39,15.03
58,bluff,44,AU,1536088783,87,-23.58,149.07,59.5,12.24
59,tasiilaq,75,GL,1536083400,97,65.61,-37.64,44.6,3.36
60,yellowknife,75,CA,1536084000,57,62.45,-114.38,51.8,12.75
61,bethlehem,75,US,1536088500,55,40.62,-75.38,90.79,6.93
62,maunabo,75,PR,1536087360,85,18.01,-65.9,84.67,10.29
63,achalpur,8,IN,1536089215,87,21.25,77.51,74.62,11.23
64,longyearbyen,75,NO,1536087000,80,78.22,15.63,41.0,17.22
65,sao filipe,76,CV,1536089049,94,14.9,-24.5,79.84,15.03
67,tezu,64,IN,1536088811,96,27.93,96.16,69.94,1.61
68,kupang,0,ID,1536089217,91,-10.16,123.6,77.68,10.78
69,viedma,0,AR,1536089072,37,-40.81,-62.99,72.1,11.34
70,tiarei,20,PF,1536087600,57,-17.53,-149.33,80.6,4.7
72,cap-aux-meules,20,CA,1536084000,56,47.38,-61.86,69.8,20.8
73,alice springs,0,AU,1536087600,32,-23.7,133.88,51.8,6.93
74,buala,56,SB,1536088887,98,-8.15,159.59,79.48,5.19
75,pokhara,56,NP,1536089219,68,28.21,83.99,62.92,1.95
76,muros,20,ES,1536087600,88,42.77,-9.06,66.2,6.93
78,magistralnyy,68,RU,1536089220,61,56.17,107.45,47.8,6.64
79,matveyevka,20,UA,1536089220,90,45.75,33.81,68.59,4.41
81,bathsheba,20,BB,1536087600,66,13.22,-59.52,86.0,14.99
82,saskylakh,76,RU,1536088604,77,71.97,114.09,41.86,21.41
83,avarua,75,CK,1536087600,57,-21.21,-159.78,77.0,11.41
84,mont-dore,90,NC,1536087600,88,-22.23,166.53,64.4,1.12
86,new norfolk,75,AU,1536087600,87,-42.78,147.06,42.8,8.05
87,sobolevo,36,RU,1536089223,63,54.43,31.9,67.06,10.89
88,xai-xai,0,MZ,1536089223,99,-25.04,33.64,71.02,4.52
89,hermanus,76,ZA,1536088608,83,-34.42,19.24,53.56,9.78
90,ostrovnoy,100,RU,1536088875,87,68.05,39.51,57.43,7.99
91,praia,0,BR,1536084000,28,-20.25,-43.81,80.6,9.17
92,east london,0,ZA,1536084000,88,-33.02,27.91,62.6,6.93
93,vaini,92,IN,1536088825,99,15.34,74.49,70.3,4.74
94,ayan,0,TR,1536089224,81,40.67,33.6,60.13,1.61
95,ribeira grande,20,PT,1536087600,64,38.52,-28.7,73.4,16.11
96,saldanha,0,PT,1536088893,52,41.42,-6.55,75.16,2.62
97,kurilsk,64,RU,1536089225,96,45.23,147.88,54.64,20.85
98,beatrice,90,US,1536088500,98,40.27,-96.75,73.65,8.05
99,laukaa,75,FI,1536087000,93,62.42,25.95,57.2,3.36
100,geraldton,90,CA,1536084000,42,49.72,-86.95,68.0,11.41
101,pochutla,75,MX,1536086700,66,15.74,-96.47,87.8,6.93
102,hilo,1,US,1536083760,81,19.71,-155.08,72.23,11.56
103,cairns,20,AU,1536087600,93,-16.92,145.77,64.4,4.7
104,chuy,0,UY,1536089036,95,-33.69,-53.46,60.85,8.77
105,chapais,1,CA,1536084000,40,49.78,-74.86,68.0,12.75
106,albany,1,US,1536087240,51,42.65,-73.75,84.69,8.05
107,sao gabriel da cachoeira,75,BR,1536084000,88,-0.13,-67.09,80.6,4.7
108,khatanga,88,RU,1536088621,94,71.98,102.47,45.28,22.19
109,kita,75,JP,1536087600,88,35.76,139.74,76.96,21.92
110,srednekolymsk,0,RU,1536089228,95,67.46,153.71,34.93,2.39
111,zemio,20,CF,1536089229,88,5.02,25.13,75.52,1.72
112,aksarayskiy,0,RU,1536085800,52,46.79,48.01,66.2,13.42
113,pangnirtung,20,CA,1536084000,81,66.15,-65.72,42.8,10.29
114,souillac,0,FR,1536087600,47,45.6,-0.6,74.21,10.29
116,provideniya,92,RU,1536088867,92,64.42,-173.23,48.43,16.49
119,tessalit,80,ML,1536089033,20,20.2,1.01,98.65,3.62
120,punta arenas,20,CL,1536087600,60,-53.16,-70.91,39.2,29.97
121,yulin,92,CN,1536088940,62,38.3,109.75,57.16,2.95
123,xining,92,CN,1536089231,92,36.62,101.77,51.04,2.62
124,victoria,90,BN,1536087600,88,5.28,115.24,75.99,2.24
125,tocopilla,24,CL,1536089232,97,-22.09,-70.2,61.66,4.74
126,tiksi,32,RU,1536088854,82,71.64,128.87,38.17,21.07
127,havre-saint-pierre,20,CA,1536084000,59,50.23,-63.6,62.6,20.8
128,santiago de cao,40,PE,1536087600,77,-7.96,-79.24,68.0,11.41
129,kamaishi,100,JP,1536089098,83,39.28,141.86,76.24,15.48
130,farah,0,AF,1536088846,39,32.37,62.11,61.75,0.72
131,sterling,75,US,1536087180,55,39.0,-77.4,92.73,3.36
132,moussoro,0,TD,1536089233,69,13.64,16.49,86.77,2.39
133,bambous virieux,40,MU,1536084000,78,-20.34,57.76,71.6,13.87
134,chokurdakh,80,RU,1536088619,88,70.62,147.9,36.46,10.67
135,abu dhabi,0,AE,1536087600,32,24.47,54.37,97.74,9.17
136,kaitangata,8,NZ,1536089035,71,-46.28,169.85,29.71,5.75
137,georgetown,40,GY,1536087600,78,6.8,-58.16,80.6,4.7
138,san patricio,0,PY,1536088876,66,-26.98,-56.83,68.68,4.18
139,san cristobal,40,EC,1536087600,62,-0.39,-78.55,59.0,20.8
140,port moresby,90,PG,1536087600,88,-9.47,147.16,77.0,5.82
141,thompson,75,CA,1536084000,76,55.74,-97.86,55.4,13.87
142,mar del plata,0,AR,1536088839,36,-46.43,-67.52,56.35,11.9
143,senanga,0,ZM,1536089236,25,-16.1,23.3,77.32,9.55
144,kostino,68,BG,1536087600,94,41.7,25.3,69.8,10.29
145,chegdomyn,92,RU,1536089236,94,51.13,133.04,54.55,6.87
146,basti,92,IN,1536089237,95,26.79,82.72,78.85,2.17
147,san rafael,0,AR,1536089238,19,-34.61,-68.33,79.48,8.99
148,narsaq,90,GL,1536087000,32,60.91,-46.05,55.4,17.22
149,luderitz,0,NA,1536088637,91,-26.65,15.16,52.84,2.39
150,moose factory,1,CA,1536085380,60,51.26,-80.61,71.6,11.41
151,cerro largo,0,BR,1536089239,86,-28.15,-54.74,64.45,6.2
152,yumen,0,CN,1536088648,51,40.29,97.04,54.46,6.98
153,bilma,8,NE,1536089130,27,18.69,12.92,89.74,1.16
154,keflavik,75,IS,1536087600,93,64.0,-22.56,46.53,6.93
155,la union,40,GT,1536087600,74,14.97,-89.29,84.2,2.62
156,akdepe,0,TM,1536087600,38,42.05,59.39,57.96,9.17
157,astorga,20,ES,1536087600,59,42.46,-6.05,66.2,9.17
159,santa maria,40,BR,1536084000,59,-29.69,-53.81,64.4,5.82
160,ponta do sol,0,BR,1536089082,43,-20.63,-46.0,70.93,12.24
161,ust-maya,8,RU,1536089244,89,60.42,134.54,36.01,4.18
162,pacific grove,1,US,1536087300,74,36.62,-121.92,67.24,4.7
163,cabo san lucas,20,MX,1536086880,62,22.89,-109.91,89.71,11.41
165,kapaa,90,US,1536087360,87,22.08,-159.32,80.55,14.99
168,labytnangi,56,RU,1536089246,77,66.66,66.39,56.44,11.45
169,tecoanapa,75,MX,1536086640,79,16.99,-99.26,86.0,4.7
170,half moon bay,90,US,1536087600,87,37.46,-122.43,68.99,8.05
171,kutum,100,SD,1536088913,32,14.2,24.66,85.51,12.35
172,kavaratti,36,IN,1536089124,99,10.57,72.64,81.91,10.67
173,orebro,0,SE,1536085200,87,59.27,15.21,60.8,3.36
174,clyde river,20,CA,1536084000,81,70.47,-68.59,46.4,9.17
175,marigot,40,HT,1536084000,44,18.23,-72.32,95.0,14.99
176,torbay,75,CA,1536084000,77,47.66,-52.73,56.48,23.04
177,paamiut,88,GL,1536089042,98,61.99,-49.67,41.95,2.28
179,taksimo,0,RU,1536089250,89,56.36,114.84,32.23,2.39
180,riyadh,0,SA,1536087600,11,24.63,46.72,96.8,3.36
181,silver city,40,US,1536088500,32,32.77,-108.28,78.98,10.29
182,sitka,8,US,1536089251,77,37.17,-99.65,81.1,7.99
184,along,64,IN,1536088909,95,28.17,94.8,72.55,1.39
185,dali,56,CN,1536089252,93,25.6,100.24,64.45,1.95
186,atar,8,MR,1536088916,35,20.52,-13.05,96.58,4.29
187,naze,92,NG,1536089069,98,5.43,7.07,73.9,3.96
188,kindu,24,CD,1536089253,68,-2.95,25.92,79.21,3.85
189,karatau,0,KZ,1536089253,36,43.18,70.46,54.73,8.99
190,eyl,8,SO,1536088793,83,7.98,49.82,75.16,18.16
191,nyeri,92,KE,1536089254,99,-0.42,36.95,60.22,4.74
192,grindavik,75,IS,1536087600,93,63.84,-22.43,46.49,6.93
193,touros,0,BR,1536088867,63,-5.2,-35.46,83.8,17.72
194,ferme-neuve,12,CA,1536089255,68,46.7,-75.45,70.84,3.18
195,north bend,1,US,1536086100,67,43.41,-124.22,60.53,9.17
196,shingu,92,JP,1536089066,96,33.72,135.99,78.85,20.29
197,gornopravdinsk,0,RU,1536089255,76,60.06,69.92,47.8,3.96
198,maryville,75,US,1536088500,94,40.35,-94.87,76.62,10.29
200,am timan,0,TD,1536089256,63,11.04,20.28,82.0,6.42
201,aklavik,40,CA,1536086220,69,68.22,-135.01,36.48,3.36
202,vila franca do campo,20,PT,1536087600,78,37.72,-25.43,71.6,4.7
204,san quintin,20,PH,1536084000,94,17.54,120.52,77.0,2.24
205,new amsterdam,44,GY,1536089258,71,6.25,-57.52,87.67,6.2
206,gat,75,SN,1536084000,74,14.69,-16.54,87.8,12.68
208,kahului,40,US,1536087360,82,20.89,-156.47,79.09,18.34
209,college,90,US,1536087480,91,64.86,-147.8,48.07,10.29
210,ouallam,0,NE,1536089259,57,14.32,2.08,88.84,9.55
211,komsomolskiy,92,RU,1536089260,88,67.55,63.78,55.36,7.87
213,emborion,20,GR,1536083400,31,40.48,21.55,77.0,4.7
214,balsas,44,BR,1536089261,31,-7.53,-46.04,94.6,7.65
216,houma,88,CN,1536089261,68,35.63,111.36,65.53,2.17
217,puerto quijarro,20,BO,1536087600,44,-19.0,-57.72,80.62,9.17
218,galveston,40,US,1536087360,48,40.58,-86.19,90.66,11.41
219,manchester,40,US,1536087360,40,43.0,-71.45,86.5,8.05
220,portland,1,US,1536087360,52,45.52,-122.67,65.82,3.4
221,svetlogorsk,0,RU,1536085800,66,53.14,59.15,48.2,6.71
222,antofagasta,20,CL,1536087600,55,-23.65,-70.4,64.4,14.99
223,belmonte,0,PT,1536088883,61,40.36,-7.35,73.54,2.95
225,usinsk,36,RU,1536089041,80,66.0,57.56,57.43,9.1
226,tuktoyaktuk,90,CA,1536086940,86,69.44,-133.03,33.8,13.87
227,inverness,0,GB,1536087000,71,57.48,-4.23,57.2,3.36
228,cidreira,36,BR,1536089063,83,-30.17,-50.22,62.38,13.24
230,qasigiannguit,20,GL,1536087000,64,68.82,-51.19,39.2,10.29
231,cao bang,68,VN,1536089265,99,22.67,106.25,72.73,2.51
232,mugur-aksy,76,RU,1536089266,91,50.38,90.44,25.57,1.95
233,castro,56,CL,1536088847,89,-42.48,-73.76,53.92,5.3
235,inyonga,48,TZ,1536089267,34,-6.72,32.06,73.36,4.85
236,maine-soroa,0,NE,1536089267,70,13.21,12.02,85.06,2.62
237,vao,68,EE,1536089100,92,59.1,26.19,62.38,5.97
239,sorland,40,NO,1536085200,87,67.67,12.69,49.26,3.36
240,belaya rechka,75,RU,1536084000,64,43.44,43.54,68.0,4.47
241,axim,76,GH,1536089268,97,4.87,-2.24,77.68,12.91
242,berlevag,75,NO,1536087000,87,70.86,29.09,45.7,12.75
243,labuan,90,BN,1536087600,88,5.28,115.24,75.99,2.24
244,eureka,1,US,1536087300,80,40.8,-124.16,61.72,5.82
246,kamenka,0,RU,1536089270,54,53.19,44.05,65.44,8.43
247,sokolo,32,ML,1536089270,70,14.74,-6.12,83.98,4.74
248,araouane,8,ML,1536088814,25,18.9,-3.53,99.37,7.2
249,meadow lake,75,CA,1536084000,72,54.13,-108.44,42.8,11.41
250,los llanos de aridane,0,ES,1536087600,69,28.66,-17.92,75.2,11.41
251,traverse city,75,US,1536088500,65,44.76,-85.62,83.3,10.29
252,baturaja,0,ID,1536089272,79,-4.12,104.17,72.28,4.85
253,ogbomosho,92,NG,1536089273,96,8.13,4.25,75.34,5.64
254,port blair,92,IN,1536088845,98,11.67,92.75,81.91,20.51
255,neiafu,20,TO,1536087600,88,-18.65,-173.98,75.2,4.7
256,hobyo,0,SO,1536089081,85,5.35,48.53,75.52,14.47
257,lengshuijiang,44,CN,1536089274,96,27.66,111.45,74.26,2.39
258,chirkey,40,RU,1536085800,73,42.96,46.98,71.6,15.66
259,vysokogornyy,92,RU,1536089274,99,50.1,139.13,53.2,8.66
260,olinda,40,EC,1536087600,61,-2.03,-79.75,80.6,6.93
261,iquitos,75,PE,1536087600,69,-3.75,-73.25,82.4,6.93
262,filadelfia,0,PY,1536089275,50,-22.35,-60.04,77.59,6.42
263,dembi dolo,36,ET,1536089276,89,8.53,34.8,64.9,2.51
265,bonavista,92,CA,1536088667,78,48.65,-53.11,66.34,19.51
267,mbuji-mayi,68,CD,1536089277,71,-6.13,23.6,76.87,5.64
268,springbok,0,ZA,1536089277,53,-29.67,17.88,46.0,6.31
269,comodoro rivadavia,0,AR,1536087600,18,-45.87,-67.48,62.6,13.87
270,gainesville,20,US,1536087300,66,29.65,-82.33,87.91,11.41
271,alofi,40,NU,1536087600,83,-19.06,-169.92,75.2,8.05
272,khuzdar,0,PK,1536089279,21,27.8,66.62,60.76,3.96
273,fukue,20,JP,1536085800,88,35.03,136.69,75.07,4.7
274,coquimbo,90,CL,1536087600,76,-29.95,-71.34,57.2,9.17
275,santiago del estero,0,AR,1536089117,35,-27.8,-64.26,80.38,15.14
276,salamanca,36,ES,1536087600,77,40.97,-5.66,64.4,4.7
277,san carlos de bariloche,0,AR,1536087600,41,-41.13,-71.31,60.8,14.99
278,vila velha,0,BR,1536087600,69,-3.71,-38.6,82.4,14.99
279,suarez,75,CO,1536087600,51,4.05,-74.83,82.4,9.17
280,iguatemi,0,BR,1536089281,80,-23.67,-54.56,68.14,8.43
282,necochea,0,AR,1536089133,47,-38.55,-58.74,70.48,16.71
283,namibe,92,AO,1536089073,97,-15.19,12.15,65.44,12.12
284,beloha,0,MG,1536089282,54,-25.17,45.06,72.82,6.2
285,yuanping,68,CN,1536089283,79,38.72,112.71,48.7,2.39
286,yaguajay,48,CU,1536089283,74,22.33,-79.24,85.87,13.02
287,cayenne,24,GF,1536087600,62,4.94,-52.33,87.8,11.41
288,salamiyah,0,SY,1536089283,40,35.01,37.05,76.24,6.98
289,roma,40,IT,1536087000,78,41.89,12.48,73.65,2.24
290,saint-francois,0,FR,1536087600,52,46.42,3.91,68.0,4.41
291,juli,0,PE,1536089284,71,-16.21,-69.46,51.13,8.66
294,north platte,90,US,1536087180,68,41.12,-100.77,77.0,3.36
295,parintins,20,BR,1536089285,37,-2.63,-56.73,97.75,3.4
296,hispania,75,CO,1536087600,83,5.8,-75.91,69.8,2.24
297,visnes,0,NO,1536087000,82,59.36,5.22,59.0,10.29
298,sept-iles,40,CA,1536084000,37,50.2,-66.38,69.8,21.92
299,finschhafen,44,PG,1536089287,99,-6.6,147.85,70.21,2.39
300,camacha,40,PT,1536087600,73,33.08,-16.33,73.63,12.75
301,zaozerne,80,UA,1536089287,71,51.37,23.94,70.57,5.97
302,carnarvon,0,ZA,1536088832,25,-30.97,22.13,54.82,13.69
303,mareeba,20,AU,1536087600,93,-16.99,145.42,64.4,4.7
304,tomatlan,0,MX,1536089288,71,19.93,-105.25,87.58,3.4
305,sabha,0,LY,1536088847,17,27.03,14.43,90.28,11.56
306,guerrero negro,0,MX,1536088607,58,27.97,-114.04,80.38,5.41
307,griffith,0,AU,1536089289,72,-34.29,146.06,50.77,11.56
308,ilulissat,20,GL,1536087000,64,69.22,-51.1,39.2,10.29
309,navahrudak,92,BY,1536089289,62,53.59,25.82,70.3,4.97
310,karaton,40,ID,1536087600,65,-6.34,106.1,78.8,4.7
312,fez,0,MA,1536087600,54,34.03,-5.02,75.87,9.17
313,nome,1,US,1536086100,69,30.04,-94.42,85.3,10.29
314,aleksandrovka,8,RU,1536089292,61,46.65,38.4,75.61,15.37
315,high prairie,0,CA,1536089292,70,55.43,-116.48,51.49,5.19
316,adrar,0,DZ,1536084000,9,27.87,-0.29,107.6,4.7
317,jiwani,0,PK,1536089293,96,25.05,61.74,76.96,6.98
318,hamilton,1,CA,1536086580,69,43.26,-79.87,78.31,8.05
319,cockburn town,48,TC,1536088894,98,21.46,-71.14,82.81,16.71
320,carnot,48,CF,1536088883,94,4.94,15.87,73.0,3.96
321,kings mountain,40,US,1536088500,43,35.25,-81.34,89.13,4.7
322,cruzeiro,75,BR,1536084000,46,-22.58,-44.96,71.6,6.93
323,dwarka,75,IN,1536087600,94,28.58,77.04,78.8,3.51
324,bichura,92,RU,1536089295,98,50.59,107.6,46.36,6.53
325,bela palanka,75,RS,1536087600,88,43.22,22.31,62.6,4.7
326,nikolskoye,75,RU,1536085800,88,59.7,30.79,64.4,8.95
327,sangar,0,RU,1536089296,84,63.92,127.47,31.33,4.18
329,tamandare,0,BR,1536089297,38,-8.28,-70.75,88.21,8.88
330,airai,0,TL,1536088831,89,-8.93,125.41,62.38,1.95
331,lompoc,90,US,1536087840,78,34.64,-120.46,67.62,5.82
333,faya,0,SA,1536084000,73,18.39,42.45,69.8,4.7
334,haveli,24,PK,1536089298,88,33.47,72.12,75.52,2.62
335,corrales,76,CO,1536089298,56,5.83,-72.84,63.28,2.39
337,rio gallegos,40,AR,1536087600,30,-51.62,-69.22,42.8,31.09
338,develi,0,TR,1536087000,32,38.39,35.49,68.0,2.73
339,lagoa,75,PT,1536087600,78,37.14,-8.45,73.4,9.17
340,constitucion,75,MX,1536086700,53,23.99,-104.67,73.4,2.24
341,elat,36,CM,1536089075,91,2.91,11.16,71.38,1.95
342,yar-sale,48,RU,1536089301,89,66.83,70.83,57.34,15.7
343,ust-kuyga,20,RU,1536089301,75,70.0,135.55,26.56,6.42
344,marsh harbour,64,BS,1536089301,94,26.54,-77.06,85.33,16.37
345,hambantota,32,LK,1536089034,95,6.12,81.12,81.1,11.45
346,poum,20,MK,1536087600,63,41.28,20.71,62.6,4.7
347,celestun,48,MX,1536088820,98,20.87,-90.4,84.25,9.44
348,susangerd,0,IR,1536084000,35,31.56,48.19,100.4,4.7
349,doka,92,SD,1536089303,83,13.52,35.76,75.61,3.96
350,haapiti,20,PF,1536087600,57,-17.57,-149.87,80.6,4.7
351,walla walla,1,US,1536087360,30,46.06,-118.33,71.35,4.7
352,gazli,0,UZ,1536089304,25,40.13,63.45,63.91,11.12
353,oktyabrskiy,0,RU,1536085800,72,55.61,37.97,63.5,8.95
354,atasu,8,KZ,1536089098,63,48.68,71.64,52.39,14.36
355,shenzhen,20,CN,1536087600,79,22.54,114.05,83.55,8.05
356,cervo,56,BR,1536089306,73,-22.19,-46.24,60.13,8.1
357,dzaoudzi,0,YT,1536085800,83,-12.79,45.27,77.0,3.36
358,trostberg,75,DE,1536087000,93,48.03,12.56,60.91,5.82
359,sorrento,40,AU,1536087600,81,-31.82,115.75,53.6,16.11
360,tura,56,IN,1536089045,91,25.52,90.21,78.58,4.74
361,amursk,100,RU,1536089307,99,50.23,136.9,60.31,8.21
362,shimanovsk,76,RU,1536089307,91,52.0,127.67,56.53,6.42
363,novyy urgal,100,RU,1536089307,96,51.07,132.56,55.63,8.21
364,sidney,1,US,1536088500,42,47.72,-104.16,63.75,13.87
365,nizhneangarsk,0,RU,1536089064,87,55.78,109.57,46.09,5.3
366,kijang,0,KR,1536087600,77,35.24,129.21,68.0,6.93
367,haines junction,32,CA,1536089310,50,60.75,-137.51,43.3,2.62
368,kharp,56,RU,1536089310,79,66.82,65.8,56.08,10.56
370,tiznit,0,MA,1536089167,82,29.7,-9.73,73.63,5.41
371,carutapera,12,BR,1536088799,69,-1.2,-46.02,86.68,12.46
372,nemuro,92,JP,1536089311,91,43.32,145.57,62.65,34.49
373,husavik,0,CA,1536088860,76,50.56,-96.99,66.43,16.49
374,evans,1,US,1536087360,30,40.38,-104.69,78.26,8.05
375,benguela,0,AO,1536089312,92,-12.58,13.4,69.04,5.08
376,maragogi,0,BR,1536088910,78,-9.01,-35.22,79.84,12.24
377,peniche,20,PT,1536087600,73,39.36,-9.38,68.9,3.36
378,paita,75,PE,1536087600,94,-5.09,-81.11,73.4,2.24
379,kincardine,0,GB,1536087000,87,56.07,-3.72,54.95,5.82
380,beringovskiy,76,RU,1536088887,96,63.05,179.32,50.41,13.58
381,vestmannaeyjar,40,IS,1536084000,81,63.44,-20.27,48.2,17.22
382,cabedelo,40,BR,1536087600,65,-6.97,-34.84,80.6,12.75
383,dryden,90,CA,1536087360,93,49.79,-92.84,66.2,6.93
384,shitanjing,92,CN,1536089053,56,39.23,106.34,55.0,2.28
387,manhattan,90,US,1536087660,93,39.18,-96.57,75.92,16.11
388,bubaque,40,GW,1536087600,83,11.28,-15.83,82.4,9.17
389,scarborough,80,GB,1536087000,72,54.28,-0.41,57.78,6.93
390,oussouye,40,SN,1536084000,83,12.49,-16.54,81.45,9.17
391,kloulklubed,75,PW,1536083400,88,7.04,134.26,78.8,8.05
392,pisco,90,PE,1536087600,30,-13.71,-76.2,71.6,6.93
393,santa isabel do rio negro,88,BR,1536089080,98,-0.41,-65.02,75.16,4.07
394,chivay,80,PE,1536089318,19,-15.64,-71.6,58.33,2.17
395,the valley,20,AI,1536087600,74,18.22,-63.06,86.05,12.75
396,seoul,0,KR,1536087600,82,37.57,126.98,68.59,1.12
397,mozarlandia,0,BR,1536089319,31,-14.74,-50.57,88.3,9.22
398,surgana,92,IN,1536089319,98,20.56,73.64,71.29,11.12
399,nordhorn,0,DE,1536087000,73,52.44,7.07,70.79,5.3
400,saint anthony,1,US,1536087360,3,43.97,-111.68,75.63,10.29
401,aurillac,0,FR,1536087600,42,44.93,2.44,70.25,1.12
402,helong,8,CN,1536089321,95,25.94,116.13,72.64,2.17
403,batagay,8,RU,1536089061,74,67.65,134.64,25.93,5.3
405,shibetsu,100,JP,1536089322,97,44.15,142.46,70.66,15.26
406,florianopolis,75,BR,1536087600,60,-27.6,-48.55,68.0,16.11
407,mongoumba,8,CD,1536089322,83,3.64,18.59,78.94,2.39
408,nisia floresta,75,BR,1536087600,61,-6.09,-35.21,82.4,19.46
410,shumyachi,44,RU,1536089323,62,53.86,32.43,67.33,9.33
411,lasa,40,CY,1536087600,83,34.92,32.53,80.6,4.7
412,kez,0,RU,1536089324,82,57.9,53.72,49.51,4.97
413,rennes,0,FR,1536087600,72,48.11,-1.68,65.19,8.05
414,cherskiy,88,RU,1536088881,97,68.75,161.3,37.81,2.39
415,hosakote,88,IN,1536089325,87,16.06,75.46,72.37,9.55
416,wanning,75,AT,1536087000,82,48.64,13.53,64.4,8.05
417,kenora,1,CA,1536088500,60,49.76,-94.48,71.51,18.34
418,pallasovka,68,RU,1536089326,28,50.04,46.89,71.11,9.78
419,santa rosa,0,AR,1536089328,25,-36.62,-64.29,79.84,14.03
420,tenenkou,12,ML,1536089329,97,14.46,-4.91,81.46,7.43
421,san juan del sur,40,NI,1536084000,74,11.25,-85.87,86.0,6.93
422,constantine,40,DZ,1536087600,41,36.36,6.61,78.8,4.7
423,port lincoln,32,AU,1536089099,83,-34.72,135.86,55.9,20.74
424,grand-lahou,76,CI,1536089330,78,5.24,-5.0,78.04,10.89
425,gloversville,40,US,1536087180,46,43.05,-74.34,85.41,5.82
426,rocha,0,UY,1536089085,64,-34.48,-54.34,64.72,3.85
427,barra patuca,20,HN,1536088836,87,15.8,-84.28,84.88,13.02
428,merrill,1,US,1536087180,28,42.03,-121.6,75.02,3.36
429,bikaner,48,IN,1536089333,60,28.02,73.32,86.23,3.62
430,abrau-dyurso,0,RU,1536085800,56,44.7,37.6,71.6,6.71
432,ghanzi,0,BW,1536089334,30,-21.7,21.65,68.41,5.64
433,big spring,75,US,1536088500,54,32.25,-101.48,86.88,12.75
434,zhigansk,0,RU,1536088618,85,66.77,123.37,34.48,8.32
435,ancud,44,CL,1536088861,81,-41.87,-73.83,54.64,5.3
436,vardo,1,US,1536087180,54,39.62,-77.74,90.3,3.36
437,chicama,40,PE,1536087600,77,-7.84,-79.15,68.0,11.41
